연도	시도	시군구	계열구분	설립구분	남녀구분	지역규모	학교명	주야간	교원수								직원수	학생수	학급수	홈페이지
									계		보통교과담당		전문교과담당		기타					
									계	여자	계	여자	계	여자	계	여자				
2018	부산	부산진구	상업고등학교	공립	여자	특별/광역시	부산진여자상업고등학교	주간	61	42	25	20	27	14	9	8	8	607	26	http://jin.hs.kr/
2018	부산	부산진구	상업고등학교	사립	여자	특별/광역시	부산마케팅고등학교	주간	66	31	24	9	34	17	8	5	6	712	30	http://www.marketing.hs.kr
2018	부산	부산진구	상업고등학교	사립	남여공학	특별/광역시	부산정보고등학교	주간	71	37	27	12	30	14	14	11	5	719	31	http://psinfo.hs.kr
2018	부산	부산진구	상업고등학교	사립	남여공학	특별/광역시	세정상업고등학교	주간	53	29	25	12	23	15	5	2	5	549	24	http://www.sejeong.hs.kr
2018	부산	동래구	농림업고등학교	공립	남여공학	특별/광역시	동래원예고등학교	주간	55	38	19	11	23	17	13	10	10	525	24	http://wonyea.hs.kr/
2018	부산	동래구	공업고등학교	공립	남여공학	특별/광역시	부산전자공업고등학교	주간	77	35	27	17	34	6	16	12	11	774	35	http://kumgang.hs.kr/
2018	부산	남구	공업고등학교	공립	남여공학	특별/광역시	부산공업고등학교	주간	77	34	26	19	36	5	15	10	12	782	35	http://pusan-th.hs.kr
2018	부산	남구	공업고등학교	사립	남여공학	특별/광역시	대양전자통신고등학교	주간	54	17	20	5	27	7	7	5	10	553	24	http://www.daeyang.hs.kr
2018	부산	남구	공업고등학교	사립	남여공학	특별/광역시	부산항만물류고등학교	주간	49	7	22	4	23	2	4	1	9	456	22	http://bpl.hs.kr/
2018	부산	남구	상업고등학교	사립	남여공학	특별/광역시	부산경영고등학교	주간	44	30	16	11	23	15	5	4	4	337	19	http://bb.hs.kr
2018	부산	남구	상업고등학교	사립	남여공학	특별/광역시	부산세무고등학교	주간	65	44	27	19	29	20	9	5	6	671	30	http://dyih.hs.kr
2018	부산	해운대구	공업고등학교	공립	남자	특별/광역시	해운대공업고등학교	주간	58	23	20	12	28	5	10	6	10	548	23	http://www.hudt.hs.kr
2018	부산	해운대구	가사고등학교	사립	여자	특별/광역시	부산문화여자고등학교	주간	55	36	23	10	24	21	8	5	5	598	27	http://bs-moonhwa.hs.kr/
2018	부산	해운대구	가사고등학교	사립	남여공학	특별/광역시	성심보건고등학교	주간	54	30	21	9	26	16	7	5	5	486	25	http://sungsim-ms.hs.kr
2018	부산	해운대구	가사고등학교	사립	남여공학	특별/광역시	해운대관광고등학교	주간	54	27	25	10	25	16	4	1	5	614	26	http://www.h-tour.hs.kr
2018	부산	해운대구	공업고등학교	국립	남자	특별/광역시	부산기계공업고등학교	주간	119	40	38	24	69	10	12	6	49	904	45	http://www.bmt.hs.kr
2018	부산	사하구	공업고등학교	사립	남여공학	특별/광역시	대광발명과학고등학교	주간	33	5	14	2	14	2	5	1	5	256	14	http://www.daegwang.hs.kr
2018	부산	사하구	공업고등학교	사립	남여공학	특별/광역시	동아공업고등학교	주간	49	18	18	7	23	9	8	2	9	531	22	http://donga-tec.hs.kr
2018	부산	사하구	공업고등학교	사립	남여공학	특별/광역시	부일전자디자인고등학교	주간	48	23	19	11	24	11	5	1	9	501	21	http://www.buil.hs.kr
2018	부산	사하구	공업고등학교	공립	남자	특별/광역시	부산자동차고등학교	주간	54	26	17	13	27	6	10	7	9	341	18	http://www.automotive.hs.kr
2018	부산	금정구	공업고등학교	사립	남자	특별/광역시	금정전자공업고등학교	주간	48	11	22	6	21	4	5	1	8	507	22	http://kumjong.hs.kr
2018	부산	금정구	공업고등학교	사립	남여공학	특별/광역시	대진전자통신고등학교	주간	67	18	25	7	35	10	7	1	11	735	31	http://www.pdj.hs.kr
2018	부산	금정구	가사고등학교	사립	남여공학	특별/광역시	부산정보관광고등학교	주간	54	21	17	3	29	13	8	5	5	600	25	http://www.pusan-ith.hs.kr/
2018	부산	강서구	공업고등학교	공립	남여공학	특별/광역시	부산산업과학고등학교	주간	37	20	14	8	17	8	6	4	7	169	13	http://www.pusan-ish.hs.kr
2018	부산	연제구	상업고등학교	사립	여자	특별/광역시	계성여자상업고등학교	주간	50	21	22	8	23	11	5	2	5	516	23	http://gyeseong-gc.hs.kr
2018	부산	수영구	상업고등학교	사립	여자	특별/광역시	부산여자상업고등학교	주간	67	34	29	19	27	9	11	6	6	717	31	http://psgch.hs.kr
2018	부산	사상구	공업고등학교	공립	남여공학	특별/광역시	부산에너지과학고등학교	주간	56	24	19	12	28	6	9	6	10	532	25	http://www.energy.hs.kr
2018	대구	중구	공업고등학교	사립	남여공학	특별/광역시	경북공업고등학교	주간	73	14	27	6	40	6	6	2	11	894	33	http://www.gyeongbuk.hs.kr
2018	대구	동구	공업고등학교	공립	남자	특별/광역시	대구공업고등학교	주간	117	37	37	21	69	13	11	3	11	"1,135"	45	http://www.tktech.hs.kr
2018	대구	동구	공업고등학교	사립	남여공학	특별/광역시	조일고등학교	주간	69	9	27	2	31	1	11	6	13	492	28	http://www.choil.hs.kr
2018	대구	동구	가사고등학교	사립	남여공학	특별/광역시	대구관광고등학교	주간	77	38	30	13	40	21	7	4	6	847	36	http://www.dgit.hs.kr
2018	대구	동구	공업고등학교	공립	남여공학	특별/광역시	대구일마이스터고등학교	주간	54	19	16	12	29	3	9	4	10	338	18	http://www.dgmeister.hs.kr
2018	대구	서구	공업고등학교	공립	남여공학	특별/광역시	대구서부공업고등학교	주간	91	33	27	17	46	7	18	9	13	784	39	http://www.seoboo.hs.kr
2018	대구	남구	공업고등학교	사립	남자	특별/광역시	경상공업고등학교	주간	104	19	37	13	54	2	13	4	9	"1,270"	48	http://www.kyeongsang-th.hs.kr
2018	대구	남구	상업고등학교	사립	여자	특별/광역시	경북여자상업고등학교	주/야간	60	26	20	8	31	14	9	4	5	701	26	http://gbgc.kr
2018	대구	남구	상업고등학교	사립	여자	특별/광역시	대구여자상업고등학교	주간	72	38	29	16	30	12	13	10	6	796	30	http://www.daegu-gch.hs.kr
2018	대구	북구	공업고등학교	사립	남여공학	특별/광역시	대중금속공업고등학교	주간	39	6	12	1	22	3	5	2	8	396	15	http://www.daejung.hs.kr
2018	대구	수성구	공업고등학교	사립	남여공학	특별/광역시	영남공업고등학교	주간	125	28	56	19	60	6	9	3	14	"1,451"	57	http://www.ynth.hs.kr
2018	대구	수성구	농림업고등학교	공립	남여공학	특별/광역시	대구농업마이스터고등학교	주간	72	49	14	10	33	19	25	20	15	494	24	http://www.dma.hs.kr
2018	대구	달서구	공업고등학교	공립	남자	특별/광역시	대구달서공업고등학교	주간	83	31	32	19	43	8	8	4	11	880	36	http://www.dalgong.hs.kr
2018	대구	달서구	공업고등학교	공립	남여공학	특별/광역시	대구전자공업고등학교	주간	73	26	21	12	39	7	13	7	9	807	33	http://www.daegu-eth.hs.kr/
2018	대구	달서구	상업고등학교	공립	여자	특별/광역시	대구제일여자상업고등학교	주간	68	47	19	12	36	25	13	10	4	720	27	http://www.jeil.hs.kr/
2018	대구	달서구	가사고등학교	사립	여자	특별/광역시	대구보건고등학교	주간	82	52	31	10	46	38	5	4	6	991	39	http://www.dg-health.hs.kr
2018	대구	달서구	가사고등학교	사립	남여공학	특별/광역시	상서고등학교	주간	102	68	40	21	53	41	9	6	7	"1,182"	45	http://www.sangsuh.hs.kr
2018	대구	달서구	공업고등학교	공립	남자	특별/광역시	경북기계공업고등학교	주간	131	38	35	20	79	11	17	7	14	891	45	http://www.gbgigong.hs.kr/
2018	대구	달성군	상업고등학교	공립	남여공학	면지역	대구소프트웨어고등학교	주간	29	13	7	3	11	4	11	6	4	177	9	http://www.dgsw.hs.kr
2018	인천	중구	공업고등학교	공립	남자	특별/광역시	인천정보산업고등학교	주간	92	55	24	16	48	22	20	17	8	945	39	http://www.incheon-ii.icehs.kr/
2018	인천	중구	상업고등학교	공립	남여공학	특별/광역시	영종국제물류고등학교	주간	30	20	8	6	13	8	9	6	4	242	9	http://yjil.icehs.kr
2018	인천	중구	상업고등학교	공립	여자	특별/광역시	인천여자상업고등학교	주간	79	65	25	23	50	40	4	2	3	981	36	http://igc.icehs.kr
2018	인천	중구	상업고등학교	사립	여자	특별/광역시	인천중앙여자상업고등학교	주간	51	31	20	14	24	12	7	5	4	667	24	http://ija.icehs.kr
2018	인천	중구	해양고등학교	국립	남여공학	특별/광역시	인천해사고등학교	주간	51	21	17	9	27	8	7	4	21	355	18	http://inm.hs.kr
2018	인천	동구	공업고등학교	사립	남자	특별/광역시	재능고등학교	주간	72	14	26	4	36	8	10	2	8	838	30	http://jn.icehs.kr
2018	인천	동구	상업고등학교	사립	여자	특별/광역시	영화관광경영고등학교	주간	61	42	24	13	28	24	9	5	4	807	30	http://younghwa.icehs.kr
2018	인천	남구	공업고등학교	공립	남자	특별/광역시	도화기계공업고등학교	주간	85	27	23	14	50	5	12	8	8	798	37	http://www.dohwa.icehs.kr
2018	인천	남구	공업고등학교	공립	남자	특별/광역시	인천기계공업고등학교	주간	112	41	30	20	56	8	26	13	9	"1,181"	44	http://ingigong.icehs.kr
2018	인천	남구	공업고등학교	공립	남자	특별/광역시	인천하이텍고등학교	주간	64	27	18	11	34	8	12	8	8	267	23	http://iht.icehs.kr
2018	인천	남구	공업고등학교	사립	남여공학	특별/광역시	정석항공과학고등학교	주간	55	11	18	6	30	2	7	3	8	668	24	http://www.jungseok-at.kr
